ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
717,h-1,,Bakki,Islandia,"Kühn, 2004",116,,386,19,0.02,74,634,121,
246,10-G-020-80,,"Calistoga, CA",EU,"Murray et al, 1985",116,2.05,190,7,1,30,201,,
785,TH-1,Tekkehaman,Tekkehaman,Turquía,"Gökgöz, 1998",116,1.62,750,75,12,12,76,1350,
380,Cen. Miss.20,,Mississippi ,EU,"Fournier y Potter, 1979",116,,49900,461,2290,29500,,,
381,Cen. Miss.21,,Mississippi ,EU,"Fournier y Potter, 1979",116,,50100,474,2510,30700,,,
528,DY-1,,Kyushu,Japón,"Noda & Shimada, 1993",117,,625,47.2,0.05,40.7,998,67.5,19
719,Sn-6,,Seltines,Islandia,"Kühn, 2004",117,,597,14,0.38,523,1617,305,
708,ZK1202,,"Tibet, Nagqu",China,"Kühn, 2004",117,,1004,66,6,22.5,248,200,2000
704,St. Un. A#9 Weeks Island,,"Lafayette, CA",EU,"Kühn, 2004",117,,78000,1065,1140,10250,143000,6.4,450
706,"WI Wes 6-11 No.1, West",,"Salt Dome Basic, MS",EU,"Kühn, 2004",118,,54800,6500,3350,33900,170000,161,197
607,88-08,,Bakki,Turquía,"Arnórsson, 1995 II",120,,387.2,17.2,0.013,69.4,795,119.6,
714,GTE,,SanKampaeng,Tailandia,"Kühn, 2004",120,,175,7,0.15,5.3,153,33,151.3
710,GW-25,,NW Himalayan Puga,India,"Kühn, 2004",120,,600,90,1.5,5,468,172,799
541,Cisolok-1,,Cisolok-Cisukarame (Isla Java),Indonesia,"Hochstein, 1988",120,,365,12.6,2.9,27.5,,,
616,V2,Latera,Latera,Italia,"Gianelli, et al.,  1989",120,,1698,342,14.8,25.4,1531,1150,
542,BNT-1,,Citaman (Isla Java),Indonesia,"Hochstein, 1988",120,,184,51,32,3,,,
382,Cen. Miss.22,,Mississippi ,EU,"Fournier y Potter, 1979",120,,48800,625,2550,37200,,,
509,B-9,,Balcova,Turquía,"Serpen, 2004",122,,440,31,4,8,223,169,467
83,"Houston ""K"" #1",,,,"Palandri & Reed, 2001",122,,23250,220,95,610,35200,11,302
715,"Allermöhe, bh",,Hamburg,Alemania,"Kühn, 2004",123,,75000,1250,1300,6690,132200,465,240
608,87-37,,Reykjavik,Turquía,"Arnórsson, 1995 II",124,,56.1,2.13,0.072,2.79,33.5,14.8,
601,,,Balcova Izmir,Turquía,"Karul, 1988",124,1.6,380,29,,,192,,
386,Cen. Miss.29,,Mississippi ,EU,"Fournier y Potter, 1979",125,,53900,888,2150,28900,,,
529,GW-2,,Puga,India,"Moon & Dharam, 1988",125,6.5,700,110,,2.4,475,126,623
15,Well-1,,Bakki,Islandia,"Arnorsson, et.al., 1983 II",126,,387.5,19.6,0.072,67.1,658.5,122.5,
11,Well-4,,Seltjarnarnes,Islandia,"Arnorsson, et.al., 1983 II",126,,355.5,10,0.1,139,670.8,204.8,
711,BGRL(200m),,Beppu Kyushu,Japón,"Kühn, 2004",126,,154,16.8,48.2,65.4,65.7,84,714
86,Gardiner #1,,,,"Palandri & Reed, 2001",127,,24000,300,235,2000,40500,0.6,317
392,Cen. Miss.38,,Mississippi ,EU,"Fournier y Potter, 1979",127,,54000,979,1630,26500,,,
387,Cen. Miss.30,,Mississippi ,EU,"Fournier y Potter, 1979",127,,53600,649,2200,19300,,,
84,Taylor E-2,,,,"Palandri & Reed, 2001",128,,13250,72,48,330,21000,42,200
721,WK-620,,Wairakei,Nueva Zelanda,"Kühn, 2004",129,,174,11.8,0.88,45,185,41,300
393,Cen. Miss.39,,Mississippi ,EU,"Fournier y Potter, 1979",129,,61100,854,1830,28800,,,
378,Cen. Miss.15,,Mississippi ,EU,"Fournier y Potter, 1979",129,,54200,863,2550,41200,,,
539,FGTE-5,,San Kamphaeng,Tailandia,"Hochstein, 1988",130,,124,7.8,0.018,1.4,,,
10,Well-11,,Reykjavik,Islandia,"Arnorsson, et.al., 1983 II",130,,57.1,2.6,0.024,2.56,36.4,19.4,
409,662,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",131,1.5,318,77,0.13,11.6,387,148,121
512,BD-4,,Balcova,Turquía,"Serpen, 2004",131,,420,27,2.5,15,164,180,579
383,Cen. Miss.23,,Mississippi ,EU,"Fournier y Potter, 1979",131,,59700,1340,3230,45000,,,
